Origin,Target,Type,Format
/blogs/bass-fishing/2010/07/cermele-lures-define-era/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/bass-fishing/2012/04/skip-lures-hard-reach-spots-where-big-largemouth-bass-lurk/,/outdoor-gear/best-bass-lures/,301,plain
/make-an-unbeatable-bass-lure-for-next-to-nothing/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/more-freshwater/1999/12/top-10-bass-lures/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/bass-fishing/2014/02/bass-bait-test-2014-we-rank-10-brand-new-bass-lures/,/outdoor-gear/best-bass-lures/,301,plain
/blogs/honest-angler/2013/04/golden-rules-buying-bass-lures/,/outdoor-gear/best-bass-lures/,301,plain
/blogs/honest-angler/2011/04/most-influential-bass-lure-all-time/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/bass-fishing/2010/09/modify-bass-lure/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/2016/07/three-tips-for-skipping-bass-lures/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/more-freshwater/how-fish/2009/09/bait-wrapping-bass-lures/,/outdoor-gear/best-bass-lures/,301,plain
/blogs/bass-fishing/2009/04/merwin-cold-water-spring-bass-lures/,/outdoor-gear/best-bass-lures/,301,plain
/new-bass-fishing-lures/,/outdoor-gear/best-bass-lures/,301,plain
/articles/fishing/2016/06/three-killer-rodent-lures-for-topwater-bass/,/outdoor-gear/best-bass-lures/,301,plain
/story/outdoor-gear/pack-hammock/,/outdoor-gear/best-camping-hammocks/,301,plain
/keys-to-selecting-your-next-pack-hammock/,/outdoor-gear/best-camping-hammocks/,301,plain
/story/outdoor-gear/three-keys-to-finding-the-perfect-camping-hammock/,/outdoor-gear/best-camping-hammocks/,301,plain
/articles/hunting/2013/07/best-treestand-2013-ol-man-drone/,/outdoor-gear/best-climbing-tree-stands/,301,plain
/blogs/whitetail-365/2011/10/best-deal-treestands-just-got-better/,/outdoor-gear/best-climbing-tree-stands/,301,plain
/blogs/field-test/field-test-treestands-for-under-100/,/outdoor-gear/best-climbing-tree-stands/,301,plain
/articles/gear/2002/08/review-climbing-tree-stands/,/outdoor-gear/best-climbing-tree-stands/,301,plain
/blogs/hunting/2010/10/good-and-cheap-comfort-zone-hunter-hang-treestand/,/outdoor-gear/best-climbing-tree-stands/,301,plain
/articles/hunting/2013/08/best-new-bow-sights-2013/,/outdoor-gear/best-compound-bow-accessories/,301,plain
