Origin,Target,Type,Format
/blogs/flytalk/the-many-uses-for-a-fly-reel-cover/,/outdoor-gear/best-fly-reels/,301,plain
/motorcycle-fly-reel-test-orvis-battenkill-mid-arbor/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/honest-angler/2013/01/ll-beans-new-fly-reel-50-well-spent/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/flytalk/2013/01/great-fishing-gear-danielsson-fly-reels/,/outdoor-gear/best-fly-reels/,301,plain
/motorcycle-fly-reel-test-abel-pt-5/,/outdoor-gear/best-fly-reels/,301,plain
/fflogger-fflogs-fly-reels-testing-startup-drag-with-motorcycle/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/honest-angler/2012/02/review-jesse-james-44-mag-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/honest-angler/2011/03/vintage-tackle-contest-pemco-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/flytalk/fly-reel-review-orvis-hydros-sl/,/outdoor-gear/best-fly-reels/,301,plain
/motorcycle-fly-reel-test-nautilus-5/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/honest-angler/2013/04/vintage-tackle-contest-carlton-ideal-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/the-lateral-line/video-the-toughest-little-fly-reel-around/,/outdoor-gear/best-fly-reels/,301,plain
/articles/fishing/2016/03/how-to-palm-a-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/articles/fishing/2012/07/how-good-fly-reel-can-you-get-100/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/the-lateral-line/video-first-ever-on-the-water-test-of-a-3d-printed-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/what-use-catch-trout/2009/04/chad-love-why-do-high-end-fly-reels-cost-so-much/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/field-test/new-fly-reel-redington-behemoth/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/what-use/2009/03/testing-fly-reels-four-wheeler/,/outdoor-gear/best-fly-reels/,301,plain
/articles/fishing/fly-fishing/how-fish/2004/01/benefits-large-arbor-fly-reels/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/flytalk/2014/03/caption-contest-write-best-win-sage-2250-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/blogs/flytalk/caption-contest-win-a-new-cabelas-wlxii-fly-reel/,/outdoor-gear/best-fly-reels/,301,plain
/motorcycle-fly-reel-test-hatch-3-plus-by-hatch-outdoors/,/outdoor-gear/best-fly-reels/,301,plain
