Origin,Target,Type,Format
/blogs/gun-nuts/2013/01/new-shotgun-gear-motorola-talkabout-radio-ear-muffs/,/guns/best-shotguns/,301,plain
/blogs/field-test/tac-drivers-four-precision-tactical-rifles-light-enough-for-field-work/,/story/guns/best-rifles/,301,plain
/articles/guns/rifles/2006/02/gun-review-kimber-model-84m-svt/,/story/guns/best-rifles/,301,plain
/articles/guns/2002/08/antelope-rifles/,/story/guns/best-rifles/,301,plain
/articles/hunting/1999/12/dixie-gun-works-tennessee-mountain-rifle/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/first-look-2015-sako-85-carbonlight-rifle/,/story/guns/best-rifles/,301,plain
/blogs/gun-nuts/2011/07/review-jarrett-signature-rifle/,/story/guns/best-rifles/,301,plain
/rifle-review-montana-alr-part-2/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/review-bergara-rifles-part-ii/,/story/guns/best-rifles/,301,plain
/fastest-dangerous-game-rifles/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/new-bargain-hunting-rifle-winchester-xpr/,/story/guns/best-rifles/,301,plain
/articles/hunting/1999/12/remington-model-700-sendero/,/story/guns/best-rifles/,301,plain
/articles/hunting/1999/12/beretta-mato-rifle/,/story/guns/best-rifles/,301,plain
/pages/remington-model-798-safari-grade/,/story/guns/best-rifles/,301,plain
/blogs/rifles/2010/07/petzal-gilt-edged-308/,/story/guns/best-rifles/,301,plain
/blogs/hunting/2010/05/petzal-what-custom-rifle/,/story/guns/best-rifles/,301,plain
/articles/guns/rifles/2006/04/range-david-e-petzal-tests-325-wsm-browning-bolt/,/story/guns/best-rifles/,301,plain
/f-class-gear-savage-rifles-and-other-stuff/,/story/guns/best-rifles/,301,plain
/blogs/gun-nuts/2012/01/savage-lady-hunter-rifle-made-just-women/,/story/guns/best-rifles/,301,plain
/articles/hunting/2002/02/glass-bedding-rifle/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/new-gun-howa-alpine-mountain-rifle/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/gunfight-bar-vs-blr/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/boomplop-the-340-weatherby/,/story/guns/best-rifles/,301,plain
/articles/gear/2003/09/kimber-classic-22-rifle/,/story/guns/best-rifles/,301,plain
/blast-from-past-winchester-model-99/,/story/guns/best-rifles/,301,plain
/blast-from-past-winchester-model-71/,/story/guns/best-rifles/,301,plain
/blast-from-past-winchester-model-88/,/story/guns/best-rifles/,301,plain
/blast-from-past-winchester-model-70/,/story/guns/best-rifles/,301,plain
/blast-from-past-winchester-model-1905/,/story/guns/best-rifles/,301,plain
/blast-from-past-remington-model-51/,/story/guns/best-rifles/,301,plain
/pages/first-look-browning-x-bolt-and-winchester-model-70/,/story/guns/best-rifles/,301,plain
/articles/hunting/1999/12/winchester-model-70-classic-featherweight/,/story/guns/best-rifles/,301,plain
/blogs/gun-nuts/2013/12/gun-fight-battle-wallhangers/,/story/guns/best-rifles/,301,plain
/blogs/the-gun-nuts/the-p-17-enfield/,/story/guns/best-rifles/,301,plain
/guns/my-first-gun-410-hr-topper/,/story/guns/best-rifles/,301,plain
/blast-from-past-sako-av/,/story/guns/best-rifles/,301,plain
/how-to-build-your-own-ar-rifle/,/story/guns/best-rifles/,301,plain
/how-to-remove-gun-clean-rifle/,/story/guns/how-to-clean-a-rifle/,301,plain
/rut-reporters-best-bucks-early-october/,/story/hunting/best-bucks-of-the-decade/,301,plain
/rut-report-best-bucks-2017-rut/,/story/hunting/best-bucks-of-the-decade/,301,plain
/rut-report-best-bucks-late-pre-rut/,/story/hunting/best-bucks-of-the-decade/,301,plain
/story/hunting/how-to-hunt-deer-in-the-worst-winter-weather/,/story/hunting/how-to-hunt-deer-in-snow/,301,plain
